id,name,type,league
RR,Ralf Rangnick,1,1
RHa,Ralph Hasenhüttl,1,1
LFa,Lucien Favre,1,1
PSt,Peter Stöger,1,1
AH,Adi Hütter,1,1
NK,Niko Kovac,1,1
JH,Jupp Heynckes,1,1
MAn,Markus Anfang,1,1
SR,Stefan Ruthenbeck,1,1
TK,Tayfun Korkut,1,1
MW,Markus Weinzierl,1,1
HH,Heiko Herrlich,1,1
PB,Peter Bosz,1,1
ABr,Andre Breitenreiter,1,1
TD,Thomas Doll,1,1
BSch,Boris Schommers,1,1
MK,Michael Köllner,1,1
DT,Domenico Tedesco,1,1
HS,Huub Stevens,1,1
MBa,Manuel Baum,1,1
MSc,Martin Schmidt,1,1
NW,Nico Willig ,1,1
RBL,RB Leipzig,2,1
BVB,Borussia Dortmund,2,1
SGE,Eintracht Frankfurt ,2,1
FCB,Bayern München,2,1
FCK,1. FC Köln,2,1
VFB,VfB Stuttgart,2,1
B04,Bayer Leverkusen,2,1
H96,Hannover 96 ,2,1
FCN,1. FC Nürnberg,2,1
S04,Schalke 04,2,1
FCA,FC Augsburg ,2,1